No,Title,Content
011,Sheriffs.,*** Sheriffs shall hold no other office. *** (§13(a) of Article XIII of the Constitution of the State of New York.)
012,Notary public?disqualifications.,"Though a person may be eligible to hold the office of notary the person may be disqualified to act in certain cases by reason of having an interest in the case. To state the rule broadly: if the notary is a party to or directly and pecuniarily interested in the transaction, the person is not capable of acting in that case. For example, a notary who is a grantee or mortgagee in a conveyance or mortgage is disqualified to take the acknowledgment of the grantor or mortgagor; likewise a notary who is a trustee in a deed of trust; and, of course, a notary who is the grantor could not take his own acknowledgment. A notary beneficially interested in the conveyance by way of being secured thereby is not competent to take the acknowledgment of the instrument. In New York the courts have held an acknowledgment taken by a person financially or beneficially interested in a party to conveyance or instrument of which it is a part to be a nullity; and that the acknowledgment of an assignment of a mortgage before one of the assignees is a nullity; and that an acknowledgment by one of the incorporators of the other incorporators who signed a certificate was of no legal effect."
013,§134. Signature and seal of county clerk.,"The signature and seal of a county clerk, upon a certificate of official character of a notary public or the signature of a county clerk upon a certificate of authentication of the signature and acts of a notary public or commissioner of deeds, may be a facsimile, printed, stamped, photographed or engraved thereon."
014,§135. Powers and duties; in general; of notaries public who are attorneys at law.,"Every notary public duly qualified is hereby authorized and empowered within and throughout the State to administer oaths and affirmations, to take affidavits and depositions, to receive and certify acknowledgments or proof of deeds, mortgages and powers of attorney and other instruments in writing; to demand acceptance or payment of foreign and inland bills of exchange, promissory notes and obligations in writing, and to protest the same for non-acceptance or non-payment, as the case may require, and, for use in another jurisdiction, to exercise such other powers and duties as by the laws of nations and according to commercial usage, or by the laws of any other government or country may be exercised and performed by notaries public, provided that when exercising such powers he shall set forth the name of such other jurisdiction.

A notary public who is an attorney at law regularly admitted to practice in this State may, in his discretion, administer an oath or affirmation to or take the affidavit or acknowledgment of his client in respect of any matter, claim, action or proceeding.

For any misconduct by a notary public in the performance of any of his powers such notary public shall be liable to the parties injured for all damages sustained by them. A notary public shall not, directly or indirectly, demand or receive for the protest for the non-payment of any note, or for the non-acceptance or non-payment of any bill of exchange, check or draft and giving the requisite notices and certificates of such protest, including his notarial seal, if affixed thereto, any greater fee or reward than 75 cents for such protest, and 10 cents for each notice, not exceeding five, on any bill or note. Every notary public having a seal shall, except as otherwise provided, and when requested, affix his seal to such protest free of expense."
015,§135-a. Notary public or commissioner of deeds; acting without appointment; fraud in office.,"1. Any person who holds himself out to the public as being entitled to act as a notary public or commissioner of deeds, or who assumes, uses or advertises the title of notary public or commissioner of deeds, or equivalent terms in any language, in such a manner as to convey the impression that he is a notary public or commissioner of deeds without having first been appointed as notary public or commissioner of deeds, or

2. A notary public or commissioner of deeds, who in the exercise of the powers, or in the performance of the duties of such office shall practice any fraud or deceit, the punishment for which is not otherwise provided for by this act, shall be guilty of a misdemeanor."
016,"§135-b. Advertising by notaries public.

","1. The provisions of this section shall not apply to attorneys-at-law, admitted to practice in the state of New York.

2. A notary public who advertises his or her services as a notary public in a language other than English shall post with such advertisement a notice in such other language the following statement:
?I am not an attorney licensed to practice law and may not give legal advice about immigration or any other legal matter or accept fees for legal advice.?

3. A notary public shall not use terms in a foreign language in any advertisement for his or her services as a notary public that mean or imply that the notary public is an attorney licensed to practice in the state of New York or in any jurisdiction of the United States. The secretary shall designate by rule or regulation the terms in a foreign language that shall be deemed to mean or imply that a notary public is licensed to practice law in the state of New York and the use of which shall be prohibited by notary publics who are subject to this section.

4. For purposes of this section, ?advertisement? shall mean and include material designed to give notice of or to promote or describe the services offered by a notary public for profit and shall include business cards, brochures, and notices, whether in print or electronic form.

5. Any person who violates any provision of this section or any rule or regulation promulgated by the secretary may be liable for civil penalty of up to one thousand dollars. The secretary of state may suspend a notary public upon a second violation of any of the provisions of this section and may remove from office a notary public upon a third violation of any of the provisions of this section, provided that the notary public shall have been served with a copy of the charges against him or her and been given an opportunity to be heard. The civil penalty provided for by this subdivision shall be recoverable in an action instituted by the attorney general on his or her own initiative or at the request of the secretary.

6. The secretary may promulgate rules and regulations governing the provisions of this section, including the size and type of statements that a notary public is required by this section to post.

"
017,§135-c. Electronic notarization,"1. Definitions.
(a) ?Communication technology? means an electronic device or process
that: (i) allows a notary public and a remotely located individual to
communicate with each other simultaneously by sight and sound; and (ii)
when necessary and consistent with other applicable law, facilitates
communication with a remotely located individual who has a vision,
hearing, or speech impairment.

(b) ?Electronic? shall have the same meaning as set forth in subdivision
one of section three hundred two of the state technology law.

(c) ?Electronic record? means information that is created, generated, sent,
communicated, received or stored by electronic means.

(d) ?Electronic notarial act? means an official act by a notary public,
physically present in the state of New York, on or involving an electronic
record and using means authorized by the secretary of state.

(e) ?Electronic notary public? or ?electronic notary? means a notary
public who has registered with the secretary of state the capability of
performing electronic notarial acts.

(f) ?Electronic signature? shall have the same meaning as set forth in
subdivision three of section three hundred two of the state technology law.

(g) ?Principal? means an individual:
(i) whose signature is reflected on a record that is notarized;
(ii) who has taken an oath or affirmation administered by a notary public;
or
(iii) whose signature is reflected on a record that is notarized after the
individual has taken an oath or affirmation administered by a notary
public.

(h) ?Record? means information that is inscribed on a tangible medium or
that is stored in an electronic or other medium and is retrievable in
perceivable form.

2. Any notary public qualified under this article is hereby authorized to
perform an electronic notarial act by utilizing audio-video communication
technology that allows the notary public to interact with a principal,
provided that all conditions of this section are met.

(a) The methods for identifying document signers for an electronic
notarization shall be the same as the methods required for a paper-based
notarization; provided, however, an electronic notarial act conducted
utilizing communication technology shall meet the standards which have
been approved through regulation by the secretary of state as acceptable.
Such regulations shall include, but not be limited to:
(i) that the signal transmission shall be secure from interception through
lawful means by anyone other than the persons communicating;
(ii) that the communication technology shall permit the notary public to
communicate with the principal live, in real time;
(iii) that the communication technology shall permit the notary to
communicate with and identify the remotely located individual at the time
of the notarial act; and
(iv) a standard that requires two or more different processes for
authenticating the identity of a remotely located individual utilizing
technology to detect and deter fraud, but which may allow a notary
public?s personal knowledge of a document signer to satisfy such
requirement.

(b) If video and audio conference technology has been used to ascertain a
document signer?s identity, the electronic notary shall keep a copy of the
recording of the video and audio conference and a notation of the type of
any other identification used. The recording shall be maintained for a
period of at least ten years from the date of transaction.

3. Registration requirements.
(a) Before performing any electronic notarial act or acts, a notary public
shall register the capability to notarize electronically with the secretary of
state on a form prescribed by the secretary of state and upon payment of a
fee which shall be set by regulation.

(b) In registering the capability to perform electronic notarial acts, the
notary public shall provide the following information to the secretary of
state, notary processing unit:
(i) the applicant?s name as currently commissioned and complete mailing
address;
(ii) the expiration date of the notary public?s commission and signature of
the commissioned notary public;
(iii) the applicant?s e-mail address;
(iv) the description of the electronic technology or technologies to be used
in attaching the notary public?s electronic signature to the electronic
record; and
(v) an exemplar of the notary public?s electronic signature, which shall
contain the notary public?s name and any necessary instructions or
techniques that allow the notary public?s electronic signature to be read.

4. Types of electronic notarial acts.
(a) Any notarial act authorized by section one hundred thirty-five of this
article may be performed electronically as prescribed by this section if:
(i) for execution of any instrument in writing, under applicable law that
document may be signed with an electronic signature and the notary
public is reasonably able to confirm that such instrument is the same
instrument in which the principal made a statement or on which the
principal executed a signature; and
(ii) the electronic notary public is located within the state of New York at
the time of the performance of an electronic notarial act using
communication technology, regardless of the location of the document
signer. If the principal is outside the United States, the record or subject of
the notarial act:(1) is to be filed with or relates to a matter before a public official or
court, governmental entity, or other entity subject to the jurisdiction of the
United States; or

(2) shall involve property located in the territorial jurisdiction of the
United States or shall involve a transaction substantially connected with
the United States.

(b) An electronic notarial act performed using communication technology
pursuant to this section satisfies any requirement of law of this state that a
document signer personally appear before, be in the presence of, or be in a
single time and place with a notary public at the time of the performance
of the notarial act.

5. Form and manner of performing the electronic notarial act.
(a) When performing an electronic notarial act relating to execution of
instruments in writing, a notary public shall apply an electronic signature,
which shall be attached to the electronic record such that removal or
alteration of such electronic signature is detectable and will render
evidence of alteration of the document containing the notary signature
which may invalidate the electronic notarial act.

(b) The notary public?s electronic signature is deemed to be reliable if the
standards which have been approved through regulation by the secretary
of state have been met. Such regulations shall include, but not be limited
to, the requirements that such electronic signature be:
(i) unique to the notary public;
(ii) capable of independent verification;
(iii) retained under the notary public?s sole control;
(iv) attached to the electronic record; and
(v) linked to the data in such a manner that any subsequent alterations to
the underlying document are detectable and may invalidate the electronic
notarial act.

(c) The notary public?s electronic signature shall be used only for the
purpose of performing electronic notarial acts.

(d) The remote online notarial certificate for an electronic notarial act
shall state that the person making the acknowledgement or making the
oath appeared through use of communication technology.

(e) The secretary shall adopt rules necessary to establish standards,
procedures, practices, forms, and records relating to a notary public?s
electronic signature. The notary public?s electronic signature shall
conform to any standards adopted by the secretary.

6. Recording of an electronic record.
(a) If otherwise required by law as a condition for recording that a
document be an original document, printed on paper or another tangible
medium, or be in writing, the requirement is satisfied by paper copy of an
electronic record that complies with the requirements of this section.

(b) If otherwise required by law as a condition for recording, that a
document be signed, the requirement may be satisfied by an electronic
signature.

(c) A requirement that a document or a signature associated with a
document be notarized, acknowledged, verified, witnessed, or made under
oath is satisfied if the electronic signature of the person authorized to
perform that act, and all other information required to be included, is
attached to or logically associated with the document or signature. A
physical or electronic image of a stamp, impression, or seal need not
accompany an electronic signature if the notary has attached an electronic
notarial certificate that meets the requirements of this section.
6. Recording of an electronic record.
(d)
(i) A notary public may certify that a tangible copy of the signature page
and document type of an electronic record remotely notarized by such
notary public is an accurate copy of such electronic record. Such
certification must (1) be dated and signed by the notary public in the same
manner as the official signature of the notary public provided to the
secretary of state pursuant to section one hundred thirty-one of this article,
and (2) comply with section one hundred thirty-seven of this article.
(ii) A county clerk, city registrar, or other recording officer where
applicable shall accept for recording a tangible copy of an electronic
record and that is otherwise eligible to be recorded under the laws of this
state if the record has been certified by a notary public or other individual
authorized to perform a notarial act.
(iii) A certification in substantially the following form is sufficient for the
purposes of this subdivision:

CERTIFICATE OF AUTHENTICITY
State of New York         )
                                      ) ss.:
County of                     )
On this ............ day of .................. in the year ............, I certify that the
signature page of the attached record (entitled ............................) (dated
............................) is a true and correct copy of the signatures affixed to an
electronic record printed by me or under my supervision. I further certify
that, at the time of printing, no security features present on the electronic
record indicated any changes or errors in an electronic signature in the
electronic record after its creation or execution.
(Signature and title of notary public)
(official stamp or registration number, with the expiration date of the
notary public?s commission)

7. Change of e-mail address.
Within five days after the change of an electronic notary public?s e-mail address, the notary public shall electronically transmit to the secretary of state a notice of the change, signed with the notary public?s official electronic signature.

8.
No notary public or business employing the services of a notary public operating in the state of New York shall exclusively require notarial transactions to utilize electronic notarization.

9.
Nothing in this section shall be construed as requiring any notary public to perform a notarial act using electronic communication technology. A notary public may refuse to perform such a notarial act if the notary public is not satisfied that
(a) the principal is competent or has the capacity to execute a record, or
(b) the principal?s signature is knowingly and voluntarily made.

10.
Notwithstanding article nine of the real property law or any other law to the contrary, any act performed in conformity with this section shall satisfy any requirements at law that a principal personally appear before, be in the presence of, or be in a single time and place with a notary public at the time of the performance of the notarial act, unless a law expressly excludes the authorization provided for in this section.
"
018,§136. Notarial fees.,"A notary public shall be entitled to the following fees:

For administering an oath or affirmation, and certifying the same when required, except where another fee is specifically prescribed by statute, $2.

For taking and certifying the acknowledgment or proof of execution of a written instrument, by one person, $2, and by each additional person, $2, for swearing such witness thereto, $2.

For electronic notarial services, established in section one hundred thirty-five-c of this chapter, a fee set through regulation by the secretary of state."
019,"§137. Statement as to authority of notaries public.
","In exercising powers pursuant to this article, a notary public, in addition to the venue of the act and signature of such notary public, shall print, typewrite, stamp, or affix by electronic means where performing an electronic notarial act in conformity with section one hundred thirty-five-c of the executive law, beneath their signature in black ink, the notary public?s name, the words ?Notary Public State of New York,? the name of the county in which such notary public originally qualified, and the expiration date of such notary public?s commission and, in addition, wherever required, a notary public shall also include the name of any county in which such notary public?s certificate of official character is filed, using the words ?Certificate filed ______________ County.?

A notary public who is duly licensed as an attorney and counselor at law in this State may substitute the words ?Attorney and Counselor at Law? for the words ?Notary Public.?

A notary public who has qualified or who has filed a certificate of official character in the office of the clerk in a county or counties within the City of New York must also affix to each instrument such notary public?s official number or numbers in black ink, as assigned by the clerk or clerks of such county or counties at the time such notary qualified in such county or counties and, if the instrument is to be recorded in an office of the register of the City of New York in any county within such city and the notary has been given a number or numbers by such register or his predecessors in any county or counties, when the notary public?s autographed signature and certificate are filed in such office or offices pursuant to this chapter, the notary public shall also affix such number or numbers.

No official act of such notary public shall be held invalid on account of the failure to comply with these provisions.

If any notary public shall willfully fail to comply with any of the provisions of this section, the notary public shall be subject to disciplinary action by the secretary of state.

In all the courts within this State the certificate of a notary public, over the signature of the notary public, shall be received as presumptive evidence of the facts contained in such certificate; provided, that any person interested as a party to a suit may contradict, by other evidence, the certificate of a notary public.

"
020,"§138. Powers of notaries public or other officers who are stockholders, directors, officers or employees of a corporation.
","A notary public, justice of the supreme court, a judge, clerk, deputy clerk, or special deputy clerk of a court, an official examiner of title, or the mayor or recorder of a city, a justice of the peace, surrogate, special surrogate, special county judge, or commissioner of deeds, who is a stockholder, director, officer or employee of a corporation may take the acknowledgment or proof of any party to a written instrument executed to or by such corporation, or administer an oath of any other stockholder, director, officer, employee or agent of such corporation, and such notary public may protest for non-acceptance or non-payment, bills of exchange, drafts, checks, notes and other negotiable instruments owned or held for collection by such corporation;

but none of the officers above named shall take the acknowledgment or proof of a written instrument by or to a corporation of which he is a stockholder, director, officer or employee, if such officer taking such acknowledgment or proof be a party executing such instrument, either individually or as representative of such corporation,

nor shall a notary public protest any negotiable instruments owned or held for collection by such corporation, if such notary public be individually a party to such instrument, or have a financial interest in the subject of same.

All such acknowledgments or proofs of deeds, mortgages or other written instruments, relating to real property heretofore taken before any of the officers aforesaid are confirmed.

This act shall not affect any action or legal proceeding now pending."
021,"§142-a. Validity of acts of notaries public and commissioners of deeds notwithstanding certain defects.
","Except as provided in subdivision three of this section, the official certificates and other acts heretofore or hereafter made or performed of notaries public and commissioners of deeds heretofore or hereafter and prior to the time of their acts appointed or commissioned as such shall not be deemed invalid, impaired or in any manner defective, so far as they may be affected, impaired or questioned by reason of defects described in subdivision two of this section.

This section shall apply to the following defects:
(a) ineligibility of the notary public or commissioner of deeds to be appointed or commissioned as such;
(b) misnomer or misspelling of name or other error made in his appointment or commission;
(c) omission of the notary public or commissioner of deeds to take or file his official oath or otherwise qualify;
(d) expiration of his term, commission or appointment;
(e) vacating of his office by change of his residence, by acceptance of another public office, or by other action on his part;
(f) the fact that the action was taken outside the jurisdiction where the notary public or commissioner of deeds was authorized to act.

No person shall be entitled to assert the effect of this section to overcome a defect described in subdivision two if he knew of the defect or if the defect was apparent on the face of the certificate of the notary public or commissioner of deeds; provided however, that this subdivision shall not apply after the expiration of six months from the date of the act of the notary public or commissioner of deeds.

After the expiration of six months from the date of the official certificate or other act of the commissioner of deeds, subdivision one of this section shall be applicable to a defect consisting in omission of the certificate of a commissioner of deeds to state the date on which and the place in which an act was done, or consisting of an error in such statement.

This section does not relieve any notary public or commissioner of deeds from criminal liability imposed by reason of his act, or enlarge the actual authority of any such officer, nor limit any other statute or rule of law by reason of which the act of a notary public or commissioner of deeds, or the record thereof, is valid or is deemed valid in any case.

"
022,§290. Definitions; effect of article.,"3. The term ?conveyance? includes every written instrument, by which any estate or interest in real property is created, transferred, mortgaged or assigned, or by which the title to any real property may be affected, including an instrument in execution of power, although the power be one of revocation only, and an instrument postponing or subordinating a mortgage lien;

except a will, a lease for a term not exceeding three years, an executory contract for the sale or purchase of lands, and an instrument containing a power to convey real property as the agent or attorney for the owner of such property."
023,"§298. Acknowledgments and proofs within the state.
","The acknowledgment or proof, within this state, of a conveyance of real property situate in this State may be made:

1. At any place within the state, before:
(a) a justice of the supreme court;
(b) an official examiner of title;
(c) an official referee; or
(d) a notary public.

2. Within the district wherein such officer is authorized to perform official duties, before:
(a) a judge or clerk of any court of record;
(b) a commissioner of deeds outside of the City of New York, or a commissioner of deeds of the City of New York within the five counties comprising the City of New York;
(c) the mayor or recorder of a city;
(d) a surrogate, special surrogate, or special county judge; or
(e) the county clerk or other recording officer of a county.

3. Before a justice of the peace, town councilman, village police justice, or a judge of any court of inferior local jurisdiction, anywhere within the county containing the town, village or city in which he is authorized to perform official duties.

"
024,"§302. Acknowledgments and proofs by married women.
","The acknowledgment or proof of a conveyance of real property, within the state, or of any other written instrument, may be made by a married woman the same as if unmarried."
025,"§303. Requisites of acknowledgments.
","An acknowledgment must not be taken by any officer unless he knows or has satisfactory evidence, that the person making it is the person described in and who executed such instrument.

"
026,"§304. Proof by subscribing witness.
","When the execution of a conveyance is proved by a subscribing witness, such witness must state his own place of residence, and if his place of residence is in a city, the street and street number, if any thereof, and that he knew the person described in and who executed the conveyance. The proof must not be taken unless the officer is personally acquainted with such witness, or has satisfactory evidence that he is the same person, who was a subscribing witness to the conveyance."
027,"§306. Certificate of acknowledgment or proof.
","A person taking the acknowledgment or proof of a conveyance must endorse thereupon or attach thereto, a certificate, signed by himself, stating all the matters required to be done, known, or proved on the taking of such acknowledgment or proof, together with the name and substance of the testimony of each witness examined before him, and if a subscribing witness, his place of residence."
028,"§309-a. Uniform forms of certificates of acknowledgment or proof within this state.
","1. The certificate of an acknowledgment, within this State, or a conveyance or other instrument in respect to real property situate in this State, by a person, must conform substantially with the following form, the blanks being properly filled:

State of New York  )
                    ) ss.:
County of . . . . . )

On the . . . . . day of . . . . . in the year . . . . . before me, the undersigned, personally appeared . . . . ., personally known to me or proved to me on the basis of satisfactory evidence to be the individual(s) whose name(s) is (are) subscribed to the within instrument and acknowledged to me that he/she/they executed the same in his/her/their capacity(ies), and that by his/her/their signature(s) on the instrument, the individual(s), or the person upon behalf of which the individual(s) acted, executed the instrument.
(Signature and office of individual taking acknowledgment.)
2. The certificate for a proof of execution by a subscribing witness, within this state, of a conveyance or other instrument made by any person in respect to real property situate in this state, must conform substantially with the following form, the blanks being properly filled:

State of New York  )
                    ) ss.:
County of . . . . . )

On the . . . . . day of . . . . . in the year . . . . . before me, the undersigned, personally appeared . . . . ., the subscribing witness to the foregoing instrument, with whom I am personally acquainted, who, being by me duly sworn, did depose and say that he/she/they reside(s) in . . . . . . (if the place of residence is in a city, include the street and street number, if any, thereof); that he/she/they know(s) . . . . . . to be the individual described in and who executed the foregoing instrument; that said subscribing witness was present and saw said . . . . . . execute the same; and that said witness at the same time subscribed his/her/their name(s) as a witness thereto.
(Signature and office of individual taking proof.)
3. A certificate of an acknowledgment or proof taken under §300 of this article shall include the additional information required by that section.
4. For the purposes of this section, the term ?person? means any corporation, joint stock company, estate, general partnership (including any registered limited liability partnership or foreign limited liability partnership), limited liability company (including a professional service limited liability company), foreign limited liability company (including a foreign professional service limited liability company), joint venture, limited partnership, natural person, attorney in fact, real estate investment trust, business trust or other trust, custodian, nominee or any other individual or entity in its own or any representative capacity.
"
