No,Title,Content
020,"§138. Powers of notaries public or other officers who are stockholders, directors, officers or employees of a corporation.
","A notary public, justice of the supreme court, a judge, clerk, deputy clerk, or special deputy clerk of a court, an official examiner of title, or the mayor or recorder of a city, a justice of the peace, surrogate, special surrogate, special county judge, or commissioner of deeds, who is a stockholder, director, officer or employee of a corporation may take the acknowledgment or proof of any party to a written instrument executed to or by such corporation, or administer an oath of any other stockholder, director, officer, employee or agent of such corporation, and such notary public may protest for non-acceptance or non-payment, bills of exchange, drafts, checks, notes and other negotiable instruments owned or held for collection by such corporation;

but none of the officers above named shall take the acknowledgment or proof of a written instrument by or to a corporation of which he is a stockholder, director, officer or employee, if such officer taking such acknowledgment or proof be a party executing such instrument, either individually or as representative of such corporation,

nor shall a notary public protest any negotiable instruments owned or held for collection by such corporation, if such notary public be individually a party to such instrument, or have a financial interest in the subject of same.

All such acknowledgments or proofs of deeds, mortgages or other written instruments, relating to real property heretofore taken before any of the officers aforesaid are confirmed.

This act shall not affect any action or legal proceeding now pending.

---

**实际应用场景**:

**场景1: 公证员能做什么**
客户向公证员咨询：""这份合同对我有利吗？我应该签字吗？""

**公证员的回答**:
""我不能提供法律建议。作为公证员，我的职责是：
1. 核实您的身份
2. 确认您理解这是什么文件（但不解释条款）
3. 确认您是自愿签署
4. 见证您的签名并盖章

如果您对合同内容有疑问，建议您咨询律师。""

**场景2: 超越权限的危险**
公证员王女士是会计师，客户请她在公证遗嘱时提供税务建议。

**错误做法**: 王女士作为公证员身份时提供税务建议。

**正确做法**:
- 作为公证员，仅执行公证职能
- 如要提供会计建议，必须明确区分两种角色
- 但对遗嘱，公证员应完全拒绝公证（遗嘱需要witnesses attestation，不是notarization）

**权限界限**:
- ✓ 可以做: 核实身份、管理宣誓、见证签名、保存记录
- ❌ 不能做: 法律建议、选择文件类型、填写法律表格、作为一方当事人的代理
"
021,"§142-a. Validity of acts of notaries public and commissioners of deeds notwithstanding certain defects.
","Except as provided in subdivision three of this section, the official certificates and other acts heretofore or hereafter made or performed of notaries public and commissioners of deeds heretofore or hereafter and prior to the time of their acts appointed or commissioned as such shall not be deemed invalid, impaired or in any manner defective, so far as they may be affected, impaired or questioned by reason of defects described in subdivision two of this section.

This section shall apply to the following defects:
(a) ineligibility of the notary public or commissioner of deeds to be appointed or commissioned as such;
(b) misnomer or misspelling of name or other error made in his appointment or commission;
(c) omission of the notary public or commissioner of deeds to take or file his official oath or otherwise qualify;
(d) expiration of his term, commission or appointment;
(e) vacating of his office by change of his residence, by acceptance of another public office, or by other action on his part;
(f) the fact that the action was taken outside the jurisdiction where the notary public or commissioner of deeds was authorized to act.

No person shall be entitled to assert the effect of this section to overcome a defect described in subdivision two if he knew of the defect or if the defect was apparent on the face of the certificate of the notary public or commissioner of deeds; provided however, that this subdivision shall not apply after the expiration of six months from the date of the act of the notary public or commissioner of deeds.

After the expiration of six months from the date of the official certificate or other act of the commissioner of deeds, subdivision one of this section shall be applicable to a defect consisting in omission of the certificate of a commissioner of deeds to state the date on which and the place in which an act was done, or consisting of an error in such statement.

This section does not relieve any notary public or commissioner of deeds from criminal liability imposed by reason of his act, or enlarge the actual authority of any such officer, nor limit any other statute or rule of law by reason of which the act of a notary public or commissioner of deeds, or the record thereof, is valid or is deemed valid in any case.



---

**实际应用场景**:

**场景1: 委任状中的技术性错误**
公证员张女士在2022年1月10日被任命，但委任状(commission)上打印的日期错误地写成了2022年1月01日。她在1月15日公证了一份房产契约。现在买家质疑该公证的有效性。

**法律保护 - §142-a**:
根据本条款，张女士的公证**仍然有效**，因为：
1. 她确实在1月10日被正式任命
2. 她在1月15日公证时，任命已经生效
3. 委任状上的日期错误是技术性缺陷(technical defect)
4. §142-a保护这类因文书错误导致的缺陷

**正确处理**:
- 买家的公证文件有效，不需要重新公证
- 张女士应该联系Secretary of State更正委任状
- 保留原始委任状和更正后的委任状作为记录

**场景2: 任命县标注错误**
李先生实际在Kings County被任命，但印章制作商错误地在印章上刻了""Queens County""。他用这个印章公证了20份文件后才发现错误。

**§142-a的保护**:
这20份公证文件**依然有效**，因为：
1. 李先生确实是合法任命的公证员
2. 印章上的县名错误是技术性缺陷
3. 他的公证权力覆盖全州，不限于特定县
4. §142-a旨在保护善意第三方的利益

**李先生应该做什么**:
1. 立即停止使用错误印章
2. 制作正确的新印章
3. 通知近期客户该错误，但告知文件仍然有效
4. 保留错误印章作为记录（不要销毁，可能需要作为证据）

**场景3: 任期到期后短暂延续公证**
赵女士的任期在2023年12月31日到期，但她在2024年1月2日（任期后2天）才意识到并停止公证。在这2天里她公证了3份文件。

**§142-a的可能保护**:
- 如果赵女士已经及时申请续期，只是审批尚未完成 → 文件可能有效
- 如果纯粹是疏忽，任期已明确到期 → 文件可能无效
- 关键在于赵女士的善意和缺陷的性质

**正确的做法**:
1. 赵女士应立即联系Secretary of State说明情况
2. 联系这3份文件的当事人，说明情况
3. 建议他们寻求法律意见，可能需要重新公证
4. 这突显了公证员必须严格监控任期的重要性

**重要提醒**: 
- §142-a保护技术性缺陷，但不保护实质性违规
- 典型的技术性缺陷：日期错误、县名错误、印章不清等
- 不保护的情况：未经任命、利益冲突、欺诈行为
- 公证员不应依赖§142-a作为""保护伞""，仍应严格遵守所有规范
- 发现缺陷后应立即纠正，避免持续错误
- 该条款主要保护善意第三方（文件使用人）的利益"
022,§290. Definitions; effect of article.,"3. The term ?conveyance? includes every written instrument, by which any estate or interest in real property is created, transferred, mortgaged or assigned, or by which the title to any real property may be affected, including an instrument in execution of power, although the power be one of revocation only, and an instrument postponing or subordinating a mortgage lien;

except a will, a lease for a term not exceeding three years, an executory contract for the sale or purchase of lands, and an instrument containing a power to convey real property as the agent or attorney for the owner of such property.

---

**实际应用场景**:

§290条款定义了acknowledgment和proof的关键概念，这些定义影响所有后续的公证行为。

**Acknowledgment实例**:
卖家史密斯女士签署房产契约，前往公证员处。公证员：
1. 核实史密斯女士的身份
2. 询问：""您是否承认这是您的签名，并且是自愿签署的？""
3. 史密斯女士确认
4. 公证员完成acknowledgment证书

关键点：史密斯女士可以在任何时候签署文件（甚至几天前），只要她向公证员""承认""(acknowledge)这是她的签名。

**Proof实例**:
签署人琼斯先生已故。他的遗嘱需要认证，但琼斯先生无法亲自acknowledgment。见证人（当时在场看到琼斯先生签署）前往公证员处，作proof：宣誓证明确实看到琼斯先生签署。

**区别的重要性**:
- Acknowledgment: 签署人亲自向公证员确认
- Proof: 通过subscribing witness证明（签署人无法到场时）
- 使用错误类型的证书会导致文件被拒绝
"
023,"§298. Acknowledgments and proofs within the state.
","The acknowledgment or proof, within this state, of a conveyance of real property situate in this State may be made:

1. At any place within the state, before:
(a) a justice of the supreme court;
(b) an official examiner of title;
(c) an official referee; or
(d) a notary public.

2. Within the district wherein such officer is authorized to perform official duties, before:
(a) a judge or clerk of any court of record;
(b) a commissioner of deeds outside of the City of New York, or a commissioner of deeds of the City of New York within the five counties comprising the City of New York;
(c) the mayor or recorder of a city;
(d) a surrogate, special surrogate, or special county judge; or
(e) the county clerk or other recording officer of a county.

3. Before a justice of the peace, town councilman, village police justice, or a judge of any court of inferior local jurisdiction, anywhere within the county containing the town, village or city in which he is authorized to perform official duties.



---

**实际应用场景**:

**场景1: 选择合适的公证官员**
王先生要卖掉位于Albany的房产，需要公证契约(deed)。他在考虑在哪里、找谁做公证。

**王先生的选项**（根据§298）:

**选项A - 在全州任何地点，找以下人员**:
1. Supreme Court法官
2. Official examiner of title（产权审查员）
3. Official referee（官方仲裁员）
4. **Notary public**（最常见、最便捷）

**选项B - 在特定管辖区内，找以下人员**:
1. Judge或court clerk
2. County clerk
3. 其他§298列出的官员

**王先生的最佳选择**:
- 找notary public最方便
- Notary权限覆盖全州，可以在任何地点
- 费用最低（$2）
- 容易找到（银行、律师事务所、社区中心都有）

**场景2: 公证员的地域限制疑问**
公证员李女士在纽约市被任命。客户在Buffalo要公证Albany的房产文件，问李女士能否公证。

**正确答案**: 可以！
- 根据§298(1)(d)，notary public可以在州内**任何地点**(at any place within the state)公证
- 李女士可以在Buffalo为Albany房产公证
- 房产位置、公证地点、公证员任命地，三者可以完全不同
- 只要三者都在纽约州内即可

**场景3: 县书记员的管辖限制**
客户想找county clerk公证房产文件，但clerk说：""我只能在我的县内公证。""

**正确理解**:
- County clerk的权限限于**其管辖区内**(within the district wherein such officer is authorized)
- 如果客户在该县 → clerk可以公证
- 如果客户在其他县 → clerk无权公证（除非特殊情况）
- 相比之下，notary public的全州权限更灵活

**场景4: 州外房产能否在纽约公证**
赵先生有一处位于新泽西州的房产，他人在纽约。能否在纽约公证该房产文件？

**§298的限制**:
- §298明确规定：""real property situate **in this State**""（位于本州的房产）
- 新泽西房产不适用§298
- 赵先生需要：
  1. 在新泽西找公证员，或
  2. 找有权在外州公证的纽约公证员（需要该州认可），或
  3. 参考§309-b关于州外公证的规定

**重要提醒**: 
- Notary public是最灵活、最常用的选择
- §298列出的其他官员主要在特殊或复杂情况下使用
- 公证员应该向客户解释，自己有全州范围的权限
- 房产位置决定适用的法律和公证要求
- 跨州房产交易需要特别注意公证的有效性"
024,"§302. Acknowledgments and proofs by married women.
","The acknowledgment or proof of a conveyance of real property, within the state, or of any other written instrument, may be made by a married woman the same as if unmarried.

---

**实际应用场景**:

**历史背景**: §302条款是历史遗留，当时已婚妇女的法律地位受限，需要特殊规定。现代法律已废除这些限制。

**现代应用**:
今天，已婚妇女享有与任何其他成年人相同的签署和公证权利。公证员不需要：
- 丈夫的同意
- 单独询问（除非怀疑胁迫）
- 特殊表格

**但仍需警惕的情况**:
如果公证员怀疑已婚妇女受到配偶胁迫：
1. 可以要求私下单独对话
2. 询问是否自愿签署
3. 如有确凿证据表明胁迫，拒绝公证
4. 建议当事人寻求法律援助或家庭暴力资源

**实例**:
张女士与丈夫一起到公证员处签署房屋出售契约。丈夫一直站在旁边，不断催促。公证员礼貌地说：""我需要单独与每位签署人确认。请先生在外面等候几分钟。""然后私下询问张女士是否真心希望出售，是否受到任何压力。

**重要提醒**: 虽然法律已现代化，但公证员仍应对潜在的胁迫保持警觉，无论签署人性别如何。
"
025,"§303. Requisites of acknowledgments.
","An acknowledgment must not be taken by any officer unless he knows or has satisfactory evidence, that the person making it is the person described in and who executed such instrument.



---

**实际应用场景**:

**Acknowledgment的必要要素**（§303规定）:

**场景: 正确的Acknowledgment**
李先生购买商业地产，签署购买协议。

**公证员的职责**:
1. **本人出现**: 李先生必须亲自到公证员面前（不能电话、不能代理人）
2. **身份核查**: 公证员查看李先生的驾照，确认身份
3. **知悉内容**: 公证员询问：""您是否理解这是什么文件？""李先生确认是商业地产购买协议
4. **自愿确认**: 公证员问：""您是自愿签署的吗？""李先生确认
5. **签名确认**: ""这是您的签名吗？""李先生确认
6. 公证员完成acknowledgment证书

**缺少任何一个要素，acknowledgment无效**:

**无效示例1**: 李先生派助手带着已签署的文件和驾照复印件来公证。❌ 本人未出现

**无效示例2**: 公证员接受陌生人，只凭其口头声称身份。❌ 未充分核查身份

**无效示例3**: 李先生明显困惑，不知道文件内容。❌ 未知悉内容

**重要提醒**: §303的要求是强制性的，不是建议。公证员必须确保每个要素都满足，否则承担法律责任。
"
026,"§304. Proof by subscribing witness.
","When the execution of a conveyance is proved by a subscribing witness, such witness must state his own place of residence, and if his place of residence is in a city, the street and street number, if any thereof, and that he knew the person described in and who executed the conveyance. The proof must not be taken unless the officer is personally acquainted with such witness, or has satisfactory evidence that he is the same person, who was a subscribing witness to the conveyance.

---

**实际应用场景**:

**场景: 通过见证人证明文件签署**
陈先生在2020年签署了一份房产契约(deed)，但没有做公证acknowledgment。现在（2024年）他已经去世，买家需要证明该契约的有效性。幸运的是，当时有一位见证人李女士在场见证了签署。

**Proof by Subscribing Witness的程序**（根据§304）:

**第一步：找到合格的见证人**
- 李女士必须是当时在场见证签署的""subscribing witness""（签署见证人）
- 她的名字通常在契约上作为见证人签名

**第二步：李女士向公证员提供信息**
公证员必须记录以下信息：

1. **李女士的居住地址**:
   - 完整的居住地
   - 如果在城市，必须包括街道名称和门牌号
   - 例如：""123 Main Street, Albany, NY 12084""

2. **李女士的证词**:
   - ""我认识文件中描述的人（陈先生）""
   - ""我亲眼看到陈先生签署了该文件""
   - ""签署时陈先生是自愿的，具有完全行为能力""

**第三步：公证员核实李女士的身份**
公证员必须：
- **亲自认识**李女士，或
- 通过**令人满意的证据**(satisfactory evidence)确认李女士的身份

**不能接受的情况**:
- ❌ 公证员对李女士的身份没有把握
- ❌ 李女士通过电话或视频作证（必须亲自出现）
- ❌ 李女士不记得陈先生或签署过程
- ❌ 李女士提供的地址不完整（如只说""Albany""）

**完整案例流程**:

1. **2020年**: 陈先生签署契约，李女士作为见证人在场并签名，但未做acknowledgment
2. **2024年**: 陈先生去世，买家需要证明契约有效
3. **李女士前往公证员处**
4. **公证员核实**: 
   - 检查李女士的ID（驾照显示：123 Main Street, Albany）
   - 询问李女士并记录她的证词
5. **公证员创建Proof证书**:
   - 记录李女士的地址：123 Main Street, Albany, NY
   - 记录李女士认识陈先生
   - 记录李女士见证了签署过程
   - 附上公证员的证书和签名
6. **契约现在有了法律效力**，可以用于房产转让

**Proof vs. Acknowledgment的区别**:
- **Acknowledgment**: 签署人本人承认签名（最常见）
- **Proof**: 通过见证人证明签署（签署人无法出现时使用）

**重要提醒**: 
- Proof程序比acknowledgment更复杂
- 见证人必须亲自认识签署人（不能只是""见过一次""）
- 地址信息必须完整，特别是城市地址
- 公证员对见证人的身份核实标准与对签署人相同
- Proof主要用于签署人已去世或无法出现的情况
- 这是保护房产交易安全的重要机制"
027,"§306. Certificate of acknowledgment or proof.
","A person taking the acknowledgment or proof of a conveyance must endorse thereupon or attach thereto, a certificate, signed by himself, stating all the matters required to be done, known, or proved on the taking of such acknowledgment or proof, together with the name and substance of the testimony of each witness examined before him, and if a subscribing witness, his place of residence.

---

**实际应用场景**:

**场景1: 不完整的公证证书导致契约被拒**
公证员张先生为房产契约做了acknowledgment，但他的证书上只写了：
""Acknowledged before me on March 15, 2024. [签名] John Zhang, Notary Public""

一周后，买家的律师拒绝接受该契约，说证书不完整。

**问题分析**:
张先生的证书违反了§306，缺少以下必要信息：

**§306要求的完整证书内容**:

1. **所有required信息**:
   - 签署人的姓名
   - 出现的日期和地点
   - 确认身份的方式（亲自认识/ID类型）
   - Acknowledgment的性质（自愿签署、了解内容等）

2. **如果是Proof by witness**:
   - 见证人的姓名
   - 见证人的证词内容(substance of the testimony)
   - 见证人的居住地址

3. **公证员信息**:
   - 公证员签名
   - 公证员姓名（打印）
   - ""Notary Public State of New York""
   - 任命县
   - 委任到期日

**张先生应该如何纠正**:
1. 联系签署人，请其再次出现
2. 创建完整的新证书
3. 使用正确的制式表格（参见§309-a）

**场景2: 见证人证明的完整记录**
公证员李女士为一份遗嘱做proof（通过见证人），见证人是王先生。

**李女士必须在证书中记录**:

```
Certificate of Proof

State of New York    )
                      ) ss.:
County of Kings      )

On April 20, 2024, before me, the undersigned notary public, personally appeared WANG Ming, who being by me duly sworn, did depose and say:

Witness Information:
Name: WANG Ming
Residence: 456 Oak Avenue, Brooklyn, NY 11201

Testimony:
1. That he resides at the above address
2. That he was personally acquainted with CHEN Li (the testator)
3. That he was present and saw CHEN Li execute the will dated January 5, 2024
4. That CHEN Li signed the will in the presence of the witness
5. That CHEN Li appeared to be of sound mind and under no duress

Identity Verification:
The witness was identified by New York State Driver License #123456789

[公证员签名和印章]
Lisa Liu, Notary Public
State of New York
Qualified in Kings County
Commission Expires: 12/31/2026
```

**关键要点**:
- 见证人的每一句证词都要记录
- 地址必须完整
- 身份核实方式要明确

**场景3: Acknowledgment vs. Proof证书的区别**

**Acknowledgment证书**（常见）:
- 签署人本人出现
- 签署人承认签名是自己的
- 证书记录签署人的确认

**Proof证书**（特殊情况）:
- 见证人出现（签署人无法出现）
- 见证人作证见到签署过程
- 证书记录见证人的完整证词

**重要提醒**: 
- §306是公证证书的""质量控制""条款
- 不完整的证书可能导致整个交易无效
- 使用标准表格（§309-a, §309-b）可以避免遗漏
- 证书必须""附加或背书""(endorse thereupon or attach thereto)在文件上
- 不要只签名，必须提供完整证书
- 保留公证记录副本，以备将来查询
- 见证人证明的证书比acknowledgment复杂得多，需要更多细节"
028,"§309-a. Uniform forms of certificates of acknowledgment or proof within this state.
","1. The certificate of an acknowledgment, within this State, or a conveyance or other instrument in respect to real property situate in this State, by a person, must conform substantially with the following form, the blanks being properly filled:

State of New York  )
                    ) ss.:
County of . . . . . )

On the . . . . . day of . . . . . in the year . . . . . before me, the undersigned, personally appeared . . . . ., personally known to me or proved to me on the basis of satisfactory evidence to be the individual(s) whose name(s) is (are) subscribed to the within instrument and acknowledged to me that he/she/they executed the same in his/her/their capacity(ies), and that by his/her/their signature(s) on the instrument, the individual(s), or the person upon behalf of which the individual(s) acted, executed the instrument.
(Signature and office of individual taking acknowledgment.)
2. The certificate for a proof of execution by a subscribing witness, within this state, of a conveyance or other instrument made by any person in respect to real property situate in this state, must conform substantially with the following form, the blanks being properly filled:

State of New York  )
                    ) ss.:
County of . . . . . )

On the . . . . . day of . . . . . in the year . . . . . before me, the undersigned, personally appeared . . . . ., the subscribing witness to the foregoing instrument, with whom I am personally acquainted, who, being by me duly sworn, did depose and say that he/she/they reside(s) in . . . . . . (if the place of residence is in a city, include the street and street number, if any, thereof); that he/she/they know(s) . . . . . . to be the individual described in and who executed the foregoing instrument; that said subscribing witness was present and saw said . . . . . . execute the same; and that said witness at the same time subscribed his/her/their name(s) as a witness thereto.
(Signature and office of individual taking proof.)
3. A certificate of an acknowledgment or proof taken under §300 of this article shall include the additional information required by that section.
4. For the purposes of this section, the term ?person? means any corporation, joint stock company, estate, general partnership (including any registered limited liability partnership or foreign limited liability partnership), limited liability company (including a professional service limited liability company), foreign limited liability company (including a foreign professional service limited liability company), joint venture, limited partnership, natural person, attorney in fact, real estate investment trust, business trust or other trust, custodian, nominee or any other individual or entity in its own or any representative capacity.


---

**实际应用场景**:

**场景1: 使用标准表格避免错误**
新公证员刘先生刚开始执业，为了""专业""，他自己设计了一套公证证书格式。结果客户的文件被县书记员拒绝，说格式不符合要求。

**问题分析**:
§309-a提供了**统一标准表格**(uniform forms)，公证员应该使用这些表格或""基本符合""(substantially conform)的表格。

**正确做法**:
1. 使用§309-a规定的标准表格
2. 正确填写所有空白处
3. 不要遗漏任何必填项
4. 不要添加未经授权的内容

**§309-a标准表格的关键要素**:

```
State of New York        )
                         ) ss.:
County of [任命县]       )

On the [日期] day of [月份] in the year [年份] 
before me, the undersigned, personally appeared 
[签署人姓名], personally known to me or proved 
to me on the basis of satisfactory evidence to 
be the individual whose name is subscribed to 
the within instrument and acknowledged to me 
that he/she executed the same in his/her 
capacity, and that by his/her signature on the 
instrument, the individual, or the person upon 
behalf of which the individual acted, executed 
the instrument.

[公证员签名]
[公证员姓名，打印]
Notary Public State of New York
Qualified in [县名] County
Commission Expires: [日期]
```

**场景2: 填写表格的常见错误**
公证员陈女士使用了标准表格，但在填写时犯了一些错误：
- 日期写成 ""3/15/2024"" 而不是 ""15th day of March in the year 2024""
- 身份核实方式未填写（personally known / satisfactory evidence）
- 县名填错

**正确的填写方式**:

**日期部分**:
- ✓ ""15th day of March in the year 2024""
- ❌ ""3/15/2024""（虽然通常可以接受，但标准表格要求完整书写）

**身份核实**:
必须选择一个并划掉另一个：
- ""personally known to me"" 或
- ""proved to me on the basis of satisfactory evidence""
- 不能两个都不选，也不能两个都选

**县名**:
- 必须是公证员的任命县
- 即使公证发生在其他县，这里仍填写任命县

**场景3: 公司官员签署的特殊表格**
李先生作为ABC公司的CEO签署房产契约。公证员王女士使用了个人签署的标准表格。

**错误**:
§309-a为不同类型的签署人提供了不同表格：
1. Individual（个人）
2. Corporation（公司）
3. Partnership（合伙）
4. Attorney-in-fact（授权代理人）
5. 其他

**正确做法**:
王女士应该使用公司官员的表格，关键区别在于承认语句：

""acknowledged to me that he/she executed the same **in his/her capacity as [职位] of [公司名], and that by his/her signature on the instrument, the person, or entity upon behalf of which the person acted, executed the instrument**""

**场景4: 多个签署人的处理**
一份契约有3个共同所有人签署。公证员应该如何处理？

**选项A**: 每个人单独的证书（推荐）
- 为每个签署人填写一份完整的表格
- 清晰、明确
- 如果有人后来有争议，不影响其他人

**选项B**: 一个联合证书
- 可以使用，但要确保表格语言适用于多人
- 改为复数：""personally appeared [姓名1], [姓名2], [姓名3]...they executed...""

**重要提醒**: 
- §309-a的表格是""safe harbor""（安全港），使用这些表格可以避免格式争议
- ""Substantially conform""意味着可以有小的调整，但核心内容必须完整
- 不要创新或""改进""标准表格，风险很大
- 空白处必须全部填写，不能留空
- 使用打字或清晰手写填写，确保可读性
- 保留填写示例作为参考，提高效率和准确性"
029,"§309-b. Uniform forms of certificates of acknowledgment or proof without this state.
","1.
The certificate of an acknowledgment, without this State, of a conveyance or other instrument with respect to real property situate in this State, by a person, may conform substantially with the following form, the blanks being properly filled:State, District of Columbia,        )
Territory, Possession, or           ) ss.:
Foreign Country                     )
On the . . . . . . day of . . . . . . in the year . . . . . . before me, the undersigned, personally appeared . . . . ., personally known to me or proved to me on the basis of satisfactory evidence to be the individual(s) whose name(s) is (are) subscribed to the within instrument and acknowledged to me that he/she/they executed the same in his/her/their capacity(ies), and that by his/her/their signature(s) on the instrument, the individual(s), or the person upon behalf of which the individual(s) acted, executed the instrument.
(Signature and office of individual taking acknowledgment.)

2.
The certificate for a proof of execution by a subscribing witness, without this State, of a conveyance or other instrument made by any person in respect to real property situate in this State, may conform substantially with the following form, the blanks being properly filled:
State, District of Columbia,        )
Territory, Possession, or           ) ss.:
Foreign Country                     )
On the . . . . . . day of . . . . . . in the year . . . . . . before me, the undersigned, personally appeared . . . . ., the subscribing witness to the foregoing instrument, with whom I am personally acquainted, who, being by me duly sworn, did depose and say that he/she resides in . . . . . . (if the place of residence is in a city, include the street and street number, if any, thereof); that he/she knows . . . . . . to be the individual described in and who executed the foregoing instrument; that said subscribing witness was present and saw said . . . . . . execute the same; and that said witness at the same time subscribed his/her name as a witness thereto.
(Signature and office of individual taking proof.)

3.
No provision of this section shall be construed to:

(a) modify the choice of laws afforded by §§299-a and 301-a of this article pursuant to which an acknowledgment or proof may be taken;
(b) modify any requirement of §307 of this article;
(c) modify any requirement for a seal imposed by subdivision one of §308 of this article;
(d) modify any requirement concerning a certificate of authentication imposed by §308, 311, 312, 314, or 318 of this article; or
(e) modify any requirement imposed by any provision of this article when the certificate of acknowledgment or proof purports to be taken in the manner prescribed by the laws of another state, the District of Columbia, territory, possession, or foreign country.

4.
A certificate of an acknowledgment or proof taken under §300 of this article shall include the additional information required by that section.

5.
For the purposes of this section, the term ?person? means a person as defined in subdivision 4 of §309-a of this article.

6.
The inclusion within the body (other than the jurat) of a certificate of acknowledgment or proof made under this section or the city or other political subdivision and the state or country or other place the acknowledgment was taken shall be deemed. A non-substantial variance from the form of a certificate authorized by this section.

---

**实际应用场景**:

**场景1: 在佛罗里达州公证纽约房产文件**
张先生在佛罗里达州退休居住，但他在纽约州有一处房产要出售。买家要求公证的契约。张先生能否在佛罗里达州做公证？

**正确做法**:
可以！根据§309-b，**州外公证**纽约房产文件是允许的。

**步骤**:
1. 张先生在佛罗里达找一位当地授权的公证官员
2. 该官员使用§309-b规定的州外公证表格
3. 表格格式与§309-a类似，但地点部分不同：

```
State of Florida         )
                         ) ss.:
County of Miami-Dade     )

On the 15th day of March in the year 2024,
before me personally appeared ZHANG Wei...
[其余内容与州内表格相似]

[佛罗里达公证员签名和印章]
```

4. 该公证对纽约房产文件完全有效

**场景2: 纽约公证员能否使用§309-b表格？**
公证员李女士是纽约公证员，客户误给她§309-b表格（州外表格）。

**错误**:
- 李女士在纽约
- 应该使用§309-a表格（州内表格）
- §309-b是给州外公证员用的

**正确做法**:
- 告诉客户更换表格
- 使用正确的§309-a州内表格

**场景3: 国外公证纽约房产文件**
王先生在中国，需要公证纽约房产的授权书(Power of Attorney)。

**复杂但可行的流程**:

**第一步：在中国公证**
1. 找当地公证员或美国领事馆官员
2. 使用§309-b表格或其""基本符合""的表格：

```
Foreign Country: China   )
                         ) ss.:
City: Beijing            )

On the [日期]...
```

**第二步：认证链(Authentication Chain)**
对于国外公证，通常还需要：
1. **公证** (Notarization) - 本地公证员
2. **Apostille** (如果中国是海牙公约成员国) 或
3. **领事认证** (Consular Legalization)
   - 中国外交部认证
   - 中国的美国大使馆/领事馆认证

**第三步：在纽约使用**
- 附上完整的认证链
- 提交给纽约的相关机关（县书记员、法院等）

**场景4: §309-b的""may conform""vs. §309-a的""must conform""**
细心的客户发现§309-a说""must""，§309-b说""may""。有什么区别？

**重要区别**:

**§309-a (州内)**: ""**must** conform substantially""
- 更严格
- 强烈建议使用标准表格
- 纽约州对州内公证有直接管辖权

**§309-b (州外)**: ""**may** conform substantially""  
- 更灵活
- 认可其他州/国家可能有自己的表格要求
- 只要包含必要信息即可
- 纽约州对其他州的公证员没有管辖权

**实际影响**:
- 州外公证可以使用当地标准表格
- 但使用§309-b表格更保险，避免被纽约机关拒绝

**重要提醒**: 
- §309-b扩大了纽约房产交易的便利性，允许州外/国外公证
- 对于国际交易，Apostille/领事认证可能是必需的
- 州外公证员不需要纽约notary资格
- 州外公证必须符合当地法律（佛罗里达公证员必须遵守佛罗里达法律）
- 如有疑问，建议咨询房产律师确保公证被纽约接受
- 远程电子公证(Remote Online Notarization)可能是另一个选项（参见§135-c）"
